Okrsky;Voličiv seznamu;Vydanéobálky;Volebníúčast v %;Odevzdanéobálky;Platnéhlasy;% platnýchhlasů
celkem;zpr.;v %
162;162;100,00;60414;37048;61,32;37038;36825;99,42
Strana;Platné hlasy;Předn.hlasy
číslo;název;celkem;v %
17;Unie H.A.V.E.L.;18;0,04;X
19;Referendum o Evropské unii;23;0,06;X
20;TOP 09;1302;3,53;X
21;ANO 2011;11689;31,74;X
22;Dobrá volba 2016;16;0,04;X
23;SPR-Republ.str.Čsl. M.Sládka;82;0,22;X
24;Křesť.demokr.unie-Čs.str.lid.;1263;3,42;X
25;Česká strana národně sociální;8;0,02;X
26;REALISTÉ;165;0,44;X
27;SPORTOVCI;69;0,18;X
28;Dělnic.str.sociální spravedl.;55;0,14;X
29;Svob.a př.dem.-T.Okamura (SPD);3448;9,36;X
30;Strana Práv Občanů;91;0,24;X
